2026-04-08 15:28:12 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Omar Courtz (11 songs, 1 albums, 8 countries)
2026-04-08 15:28:18 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/raye.html
2026-04-08 15:28:18 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for RAYE (5 songs, 1 albums, 36 countries)
2026-04-08 15:28:24 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/alexwarren.html
2026-04-08 15:28:24 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Alex Warren (2 songs, 1 albums, 28 countries)
2026-04-08 15:28:30 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/harrystyles.html
2026-04-08 15:28:31 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Harry Styles (5 songs, 1 albums, 31 countries)
2026-04-08 15:28:31 | INFO     | src.scrapers.artist_details_scraper | Scraped 10 artist detail pages
2026-04-08 15:28:31 | INFO     | src.database.repository | Saved 10 artist detail snapshots to DB
2026-04-08 15:28:31 | INFO     | main | Artist details scrape complete: 10 profiles saved
2026-04-08 15:39:22 | INFO     | main | === Starting Artist Details scrape ===
2026-04-08 15:39:27 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:39:27 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:39:38 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 15:39:39 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 6 Latin American countries)
2026-04-08 15:39:39 | INFO     | src.scrapers.artist_details_scraper | Scraped 1 artist detail pages
2026-04-08 15:39:39 | INFO     | src.database.repository | Saved 1 artist detail snapshots to DB
2026-04-08 15:39:39 | INFO     | main | Artist details scrape complete: 1 profiles saved
2026-04-08 15:40:23 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:40:23 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:40:30 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 15:40:31 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 6 Latin American countries)
2026-04-08 15:40:31 | INFO     | src.scrapers.artist_details_scraper | Scraped 1 artist detail pages
2026-04-08 15:41:22 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:41:22 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:41:28 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 15:41:28 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 6 Latin American countries)
2026-04-08 15:41:28 | INFO     | src.scrapers.artist_details_scraper | Scraped 1 artist detail pages
2026-04-08 15:41:28 | INFO     | src.database.repository | Saved 1 artist detail snapshots to DB
2026-04-08 15:41:56 | INFO     | main | === Starting Artist Details scrape ===
2026-04-08 15:41:59 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:42:00 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:42:07 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 15:42:08 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 6 Latin American countries)
2026-04-08 15:42:08 | INFO     | src.scrapers.artist_details_scraper | Scraped 1 artist detail pages
2026-04-08 15:42:08 | INFO     | src.database.repository | Saved 1 artist detail snapshots to DB
2026-04-08 15:42:08 | INFO     | main | Artist details scrape complete: 1 profiles saved
2026-04-08 15:42:35 | INFO     | main | Scheduling daily scrape at 06:00 UTC ...
2026-04-08 15:42:35 | INFO     | main | Scheduler started. Press Ctrl+C to stop.
2026-04-08 15:42:44 | INFO     | main | Scheduling daily scrape at 06:00 UTC ...
2026-04-08 15:42:44 | INFO     | main | Scheduler started. Press Ctrl+C to stop.
2026-04-08 15:47:26 | INFO     | main | Scheduling daily scrape at 06:00 UTC ...
2026-04-08 15:47:26 | INFO     | main | Scheduler started. Press Ctrl+C to stop.
